iter	Passed	Remaining
669	1203	592
670	1205	591
671	1207	589
672	1209	587
673	1211	585
674	1212	583
675	1214	582
676	1216	580
677	1217	578
678	1219	576
679	1221	574
680	1222	572
681	1224	570
682	1226	569
683	1228	567
684	1229	565
685	1231	563
686	1232	561
687	1234	559
688	1236	558
689	1238	556
690	1239	554
691	1241	552
692	1242	550
693	1244	548
694	1245	546
695	1247	544
696	1248	542
697	1250	541
698	1252	539
699	1253	537
700	1255	535
701	1257	533
702	1258	531
703	1260	529
704	1261	527
705	1263	526
706	1265	524
707	1266	522
708	1268	520
709	1269	518
710	1271	516
711	1272	514
712	1274	512
713	1275	511
714	1277	509
715	1278	507
716	1280	505
717	1282	503
718	1283	501
719	1285	499
720	1286	497
721	1288	496
722	1290	494
723	1291	492
724	1293	490
725	1295	488
726	1296	486
727	1298	484
728	1299	483
729	1300	481
730	1302	479
731	1303	477
732	1305	475
733	1306	473
734	1308	471
735	1310	469
736	1311	468
737	1313	466
738	1315	464
739	1316	462
740	1318	460
741	1320	459
742	1321	457
743	1323	455
744	1325	453
745	1326	451
746	1328	449
747	1329	448
748	1331	446
749	1333	444
750	1334	442
751	1336	440
752	1338	439
753	1340	437
754	1342	435
755	1343	433
756	1345	431
757	1347	430
758	1348	428
759	1350	426
760	1352	424
761	1354	423
762	1356	421
763	1357	419
764	1359	417
765	1360	415
766	1361	413
767	1363	411
768	1364	410
769	1366	408
770	1368	406
771	1370	404
772	1371	402
773	1373	400
774	1374	399
775	1376	397
776	1377	395
777	1379	393
778	1381	391
779	1382	390
780	1384	388
781	1385	386
782	1387	384
783	1388	382
784	1390	380
785	1391	378
786	1393	377
787	1395	375
788	1396	373
789	1398	371
790	1399	369
791	1401	367
792	1402	366
793	1404	364
794	1405	362
795	1406	360
796	1408	358
797	1410	357
798	1412	355
799	1413	353
800	1415	351
801	1416	349
802	1418	347
803	1419	346
804	1421	344
805	1423	342
806	1425	340
807	1427	339
808	1429	337
809	1430	335
810	1432	333
811	1433	331
812	1435	330
813	1436	328
814	1438	326
815	1440	324
816	1441	322
817	1443	321
818	1444	319
819	1446	317
820	1447	315
821	1449	313
822	1450	311
823	1452	310
824	1454	308
825	1456	306
826	1457	304
827	1459	303
828	1460	301
829	1461	299
830	1463	297
831	1464	295
832	1466	294
833	1468	292
834	1469	290
835	1471	288
836	1472	286
837	1474	285
838	1475	283
839	1477	281
840	1478	279
841	1480	277
842	1482	276
843	1484	274
844	1485	272
845	1487	270
846	1488	268
847	1490	267
848	1491	265
849	1493	263
850	1494	261
851	1497	260
852	1499	258
853	1501	256
854	1502	254
855	1504	253
856	1505	251
857	1506	249
858	1508	247
859	1510	245
860	1512	244
861	1513	242
862	1515	240
863	1517	238
864	1518	237
865	1520	235
866	1521	233
867	1523	231
868	1525	229
869	1527	228
870	1529	226
871	1530	224
872	1532	222
873	1534	221
874	1535	219
875	1537	217
876	1538	215
877	1540	214
878	1542	212
879	1543	210
880	1545	208
881	1546	206
882	1548	205
883	1550	203
884	1551	201
885	1554	199
886	1555	198
887	1557	196
888	1558	194
889	1560	192
890	1562	191
891	1563	189
892	1565	187
893	1566	185
894	1568	184
895	1570	182
896	1572	180
897	1573	178
898	1575	177
899	1577	175
900	1578	173
901	1580	171
902	1582	170
903	1584	168
904	1586	166
905	1587	164
906	1589	162
907	1590	161
908	1592	159
909	1593	157
910	1595	155
911	1596	154
912	1598	152
913	1600	150
914	1601	148
915	1603	147
916	1604	145
917	1606	143
918	1607	141
919	1609	139
920	1610	138
921	1612	136
922	1614	134
923	1616	132
924	1617	131
925	1619	129
926	1620	127
927	1622	125
928	1623	124
929	1625	122
930	1628	120
931	1629	118
932	1631	117
933	1632	115
934	1634	113
935	1635	111
936	1636	110
937	1638	108
938	1639	106
939	1641	104
940	1643	103
941	1644	101
942	1646	99
943	1647	97
944	1649	95
945	1650	94
946	1652	92
947	1653	90
948	1655	88
949	1657	87
950	1658	85
951	1660	83
952	1661	81
953	1663	80
954	1664	78
955	1666	76
956	1667	74
957	1669	73
958	1671	71
959	1672	69
960	1674	67
961	1675	66
962	1677	64
963	1679	62
964	1681	60
965	1682	59
966	1684	57
967	1686	55
968	1687	53
969	1689	52
970	1690	50
971	1692	48
972	1693	46
973	1695	45
974	1697	43
975	1699	41
976	1701	40
977	1703	38
978	1704	36
979	1706	34
980	1708	33
981	1709	31
982	1710	29
983	1712	27
984	1714	26
985	1716	24
986	1717	22
987	1719	20
988	1720	19
989	1722	17
990	1723	15
991	1725	13
992	1726	12
993	1728	10
994	1730	8
995	1732	6
996	1733	5
997	1734	3
998	1736	1
999	1737	0
